"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","527","Пробелы","src.tests.ui","Wed Apr 08 10:04:25 UTC 2026","passed","Wed Apr 08 10:04:26 UTC 2026","TestHomePage","test_home","",""
"","30003","Тест с полным запросом","src.tests.ui","Wed Apr 08 10:03:45 UTC 2026","broken","Wed Apr 08 10:04:15 UTC 2026","TestHomePage","test_home","",""
"","521","Регистр не важен","src.tests.ui","Wed Apr 08 10:04:23 UTC 2026","passed","Wed Apr 08 10:04:23 UTC 2026","TestHomePage","test_home","",""
"","441","Символы","src.tests.ui","Wed Apr 08 10:04:27 UTC 2026","passed","Wed Apr 08 10:04:28 UTC 2026","TestHomePage","test_home","",""
"","345","test_navbar_buttons[chromium-Catalog]","src.tests.ui","Wed Apr 08 10:04:16 UTC 2026","passed","Wed Apr 08 10:04:16 UTC 2026","TestHomePage","test_home","",""
"","397","facebook","src.tests.ui","Wed Apr 08 10:03:45 UTC 2026","passed","Wed Apr 08 10:03:45 UTC 2026","TestHomePage","test_home","",""
"","308","pinterest","src.tests.ui","Wed Apr 08 10:04:26 UTC 2026","passed","Wed Apr 08 10:04:27 UTC 2026","TestHomePage","test_home","",""
"","260","instagram","src.tests.ui","Wed Apr 08 10:04:25 UTC 2026","passed","Wed Apr 08 10:04:25 UTC 2026","TestHomePage","test_home","",""
"","498","test_navbar_buttons[chromium-Blog]","src.tests.ui","Wed Apr 08 10:04:24 UTC 2026","passed","Wed Apr 08 10:04:24 UTC 2026","TestHomePage","test_home","",""
"","5139","twitter","src.tests.ui","Wed Apr 08 10:04:17 UTC 2026","failed","Wed Apr 08 10:04:22 UTC 2026","TestHomePage","test_home","",""
"","413","test_navbar_buttons[chromium-Home]","src.tests.ui","Wed Apr 08 10:03:44 UTC 2026","passed","Wed Apr 08 10:03:44 UTC 2026","TestHomePage","test_home","",""
"","1669","Проверка возможности открыть продукт","src.tests.ui","Wed Apr 08 10:03:42 UTC 2026","passed","Wed Apr 08 10:03:43 UTC 2026","TestHomePage","test_home","",""
