"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","468","Тест с полным запросом","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","857","test_social_buttons[chromium-instagram]","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","558","Пробелы","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","914","test_social_buttons[chromium-pinterest]","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","5549","test_social_buttons[chromium-twitter]","src.tests.ui","2026-04-07","failed","2026-04-07","TestHomePage","test_home","",""
"","407","Регистр не важен","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","1575","Проверка возможности открыть продукт","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","371","Символы","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","301","test_navbar_buttons[chromium-Blog]","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","604","test_social_buttons[chromium-facebook]","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","360","test_navbar_buttons[chromium-Catalog]","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
"","292","test_navbar_buttons[chromium-Home]","src.tests.ui","2026-04-07","passed","2026-04-07","TestHomePage","test_home","",""
